ride_id,sample_index,timestamp_fit,gear_raw,speed_mps,elevation_m,grade_decimal,cadence_rpm,power_w,heart_rate_bpm,distance_m,temperature_c,latitude_semicircles,longitude_semicircles,speed_kph,grade_percent,latitude_deg,longitude_deg,gear_label,front_gear_index,rear_gear_index
20260513_22862540318,0,1778693805,"1x15,1,10",0.0,56.8,0.0,0,0,0,6.33,22,499771960,1678513876,0.0,0.0,41.890401765704155,140.69140780717134,1x15,1,10
20260513_22862540318,1,1778693813,"1x15,1,10",0.606,56.8,0.0,0,0,0,10.25,22,499772269,1678514237,2.1816,0.0,41.890427665784955,140.6914380658418,1x15,1,10
20260513_22862540318,2,1778693821,"1x15,1,10",0.0,56.8,0.0,0,0,0,17.01,21,499772895,1678514430,0.0,0.0,41.89048013649881,140.69145424291492,1x15,1,10
20260513_22862540318,3,1778693829,"1x15,1,10",0.0,56.8,0.0,0,0,0,20.66,21,499773209,1678514769,0.0,0.0,41.89050645567477,140.69148265756667,1x15,1,10
20260513_22862540318,4,1778693837,"1x15,1,10",0.336,56.8,0.0,0,0,0,22.32,21,499773365,1678514964,1.2096,0.0,41.890519531443715,140.69149900227785,1x15,1,10
20260513_22862540318,5,1778693845,"1x15,1,10",0.28,56.8,0.0,0,0,0,26.81,22,499773871,1678515119,1.0080000000000002,0.0,41.89056194387376,140.69151199422777,1x15,1,10
20260513_22862540318,6,1778693853,"1x15,1,10",0.0,56.8,0.0,0,0,0,29.46,22,499774194,1678514973,0.0,0.0,41.89058901742101,140.69149975664914,1x15,1,10
20260513_22862540318,7,1778693861,"1x15,1,10",0.0,56.8,0.0,0,0,0,29.72,22,499774416,1678514804,0.0,0.0,41.89060762524605,140.69148559123278,1x15,1,10
20260513_22862540318,8,1778693869,"1x15,1,10",0.0,56.8,0.0,0,0,0,30.94,22,499774407,1678514959,0.0,0.0,41.89060687087476,140.6914985831827,1x15,1,10
20260513_22862540318,9,1778693877,"1x15,1,10",0.0,56.8,0.0,0,0,0,30.94,22,499774407,1678514959,0.0,0.0,41.89060687087476,140.6914985831827,1x15,1,10
20260513_22862540318,10,1778693885,"1x15,1,10",0.0,56.8,0.0,0,0,0,30.94,22,499774407,1678514959,0.0,0.0,41.89060687087476,140.6914985831827,1x15,1,10
20260513_22862540318,11,1778693893,"1x15,1,10",0.0,56.8,0.0,0,0,0,30.94,22,499774407,1678514959,0.0,0.0,41.89060687087476,140.6914985831827,1x15,1,10
20260513_22862540318,12,1778693901,"1x15,1,10",1.176,56.8,0.0,0,15,0,31.8,22,499774313,1678514767,4.2336,0.0,41.89059899188578,140.6914824899286,1x15,1,10
20260513_22862540318,13,1778693909,"1x19,1,8",3.611,55.6,-0.07,0,0,0,50.25,22,499773252,1678512969,12.999600000000001,-7.000000000000001,41.89051005989313,140.69133178330958,1x19,1,8
20260513_22862540318,14,1778693917,"1x19,1,8",5.244,54.0,-0.04,43,86,0,87.52,22,499769273,1678513600,18.8784,-4.0,41.890176543965936,140.6913846731186,1x19,1,8
20260513_22862540318,15,1778693925,"1x19,1,8",4.731,53.4,-0.01,0,0,0,130.14,22,499764873,1678515294,17.0316,-1.0,41.88980774022639,140.69152666255832,1x19,1,8
20260513_22862540318,16,1778693933,"1x25,1,6",3.863,53.4,0.0,58,215,0,159.56,22,499764008,1678518103,13.9068,0.0,41.889735236763954,140.6917621102184,1x25,1,6
20260513_22862540318,17,1778693941,"1x25,1,6",4.096,54.6,0.04,63,280,0,192.29,22,499765398,1678522393,14.745600000000001,4.0,41.88985174521804,140.69212169386446,1x25,1,6
20260513_22862540318,18,1778693949,"1x25,1,6",4.479,56.4,0.05,68,294,0,225.87,23,499766928,1678526776,16.1244,5.0,41.88997998833656,140.69248907268047,1x25,1,6
20260513_22862540318,19,1778693957,"1x25,1,6",4.749,59.2,0.07,72,321,0,263.34,23,499768304,1678531830,17.0964,7.000000000000001,41.8900953233242,140.69291269406676,1x25,1,6
20260513_22862540318,20,1778693965,"1x25,1,6",4.544,61.4,0.06,71,284,0,301.39,23,499769723,1678536953,16.3584,6.0,41.89021426253021,140.69334209896624,1x25,1,6
20260513_22862540318,21,1778693973,"1x25,1,6",4.189,63.2,0.05,65,259,0,336.94,23,499771122,1678541681,15.080400000000001,5.0,41.89033152535558,140.6937383953482,1x25,1,6
20260513_22862540318,22,1778693981,"1x25,1,6",1.521,65.2,0.09,24,68,0,359.91,23,499771866,1678544823,5.4756,9.0,41.890393886715174,140.69400175474584,1x25,1,6
20260513_22862540318,23,1778693989,"1x25,1,6",2.342,66.4,0.08,36,143,0,374.62,24,499772481,1678546776,8.4312,8.0,41.89044543541968,140.69416545331478,1x25,1,6
20260513_22862540318,24,1778693997,"1x25,1,6",2.473,67.4,0.05,37,220,0,393.86,24,499773182,1678549352,8.9028,5.0,41.89050419256091,140.69438137114048,1x25,1,6
20260513_22862540318,25,1778694005,"1x25,1,6",5.057,68.2,0.02,77,123,0,427.6,24,499774323,1678553959,18.2052,2.0,41.8905998300761,140.6947675254196,1x25,1,6
20260513_22862540318,26,1778694013,"1x28,1,5",4.264,69.2,0.03,80,257,0,466.49,24,499775539,1678559265,15.3504,3.0,41.890701754018664,140.69521226920187,1x28,1,5
20260513_22862540318,27,1778694021,"1x28,1,5",4.087,72.0,0.08,73,335,0,499.66,25,499776682,1678563776,14.713199999999999,8.0,41.890797559171915,140.69559037685394,1x28,1,5
20260513_22862540318,28,1778694029,"1x28,1,5",4.161,74.4,0.07,75,256,0,531.98,25,499777723,1678568210,14.9796,7.000000000000001,41.89088481478393,140.69596203044057,1x28,1,5
20260513_22862540318,29,1778694037,"1x28,1,5",4.208,76.0,0.05,75,242,0,566.46,25,499778770,1678572962,15.148800000000001,5.0,41.89097257331014,140.69636033847928,1x28,1,5
20260513_22862540318,30,1778694045,"1x32,1,4",3.854,78.0,0.06,84,213,0,599.56,26,499779913,1678577488,13.874400000000001,6.0,41.89106837846339,140.69673970341682,1x32,1,4
20260513_22862540318,31,1778694053,"1x32,1,4",3.863,80.4,0.08,82,286,0,631.06,26,499781018,1678581741,13.9068,8.0,41.89116099849343,140.6970961857587,1x32,1,4
20260513_22862540318,32,1778694061,"1x32,1,4",3.788,82.6,0.07,82,306,0,662.83,26,499782571,1678585799,13.6368,7.000000000000001,41.89129116944969,140.6974363233894,1x32,1,4
20260513_22862540318,33,1778694069,"1x32,1,4",3.574,85.6,0.1,79,313,0,692.2,26,499784326,1678589287,12.8664,10.0,41.89143827185035,140.69772868417203,1x32,1,4
