ride_id,sample_index,cadence_rpm,distance_m,elevation_m,speed_mps,fractional_cadence,heart_rate_bpm,latitude_semicircles,longitude_semicircles,power_w,temperature_c,timestamp_utc,unknown_107,accumulated_power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,left_pco,left_power_phase,left_power_phase_peak,right_pco,right_power_phase,right_power_phase_peak,speed_kph,latitude_deg,longitude_deg,timestamp_unix,timestamp_fit,gear_raw,gear_label,front_gear_index,rear_gear_index,grade_percent
20260513_22862540318,0,0,3.86,,0.0,0.0,,499772638,1678514066,0,22,2026-05-13 03:36:38,0,,,,,,,,,,,,,0.0,41.89045859500766,140.69142373278737,1778643,,,,,,
20260513_22862540318,398,84,1128.63,118.39999999999998,4.031,0.0,,499809885,1678640959,242,28,2026-05-13 03:43:16,1,67462.0,24.0,174,81.0,20.0,78.0,19.0,"(336.0937552514649, 191.2500029882813)","(67.50000105468752, 129.37500202148442)",10.0,"(0.0, 185.62500290039068)","(61.87500096679689, 116.7187518237305)",14.5116,41.89358060248196,140.70205978117883,1778643,,,,,,
20260513_22862540318,399,75,1132.76,118.79999999999995,4.161,0.0,,499810046,1678641519,216,28,2026-05-13 03:43:17,1,67678.0,23.0,172,79.0,16.0,59.0,18.0,"(337.5000052734376, 191.2500029882813)","(67.50000105468752, 129.37500202148442)",9.0,"(0.0, 185.62500290039068)","(61.87500096679689, 116.7187518237305)",14.9796,41.89359409734607,140.7021067198366,1778643,,,,,,
20260513_22862540318,400,76,1137.23,119.0,4.311,0.0,,499810250,1678642105,198,28,2026-05-13 03:43:18,1,67876.0,24.0,174,83.0,20.0,81.0,17.0,"(337.5000052734376, 191.2500029882813)","(67.50000105468752, 129.37500202148442)",10.0,"(355.7812555590821, 184.218752878418)","(64.68750101074221, 119.5312518676758)",15.5196,41.89361119642854,140.70215583778918,1778643,,,,,,
20260513_22862540318,401,78,1141.79,119.0,4.376,0.0,,499810446,1678642706,171,28,2026-05-13 03:43:19,1,68047.0,21.0,173,75.0,17.0,66.0,20.0,"(348.75000544921886, 191.2500029882813)","(66.09375103271486, 127.96875199951175)",7.0,"(357.1875055810548, 184.218752878418)","(63.28125098876955, 116.7187518237305)",15.753600000000002,41.893627624958754,140.70220621302724,1778643,,,,,,
20260513_22862540318,402,79,1146.53,119.20000000000005,4.525,0.0,,499810634,1678643332,136,28,2026-05-13 03:43:20,1,68183.0,19.0,173,67.0,14.0,57.0,21.0,"(352.9687555151368, 189.84375296630864)","(66.09375103271486, 126.5625019775391)",7.0,"(0.0, 182.81250285644535)","(61.87500096679689, 113.90625177978518)",16.290000000000003,41.89364338293672,140.7022586837411,1778643,,,,,,
20260513_22862540318,403,81,1151.16,119.39999999999998,4.572,0.0,,499810788,1678643960,128,28,2026-05-13 03:43:21,1,68311.0,18.0,173,62.0,14.0,58.0,21.0,"(355.7812555590821, 185.62500290039068)","(68.90625107666017, 127.96875199951175)",7.0,"(0.0, 182.81250285644535)","(59.06250092285158, 112.50000175781253)",16.4592,41.8936562910676,140.702311322093,1778643,,,,,,
20260513_22862540318,397,81,1124.6,118.20000000000005,3.956,0.0,,499809727,1678640419,248,28,2026-05-13 03:43:15,1,67220.0,24.0,174,81.0,21.0,79.0,18.0,"(333.2812552075196, 191.2500029882813)","(61.87500096679689, 123.75000193359378)",11.0,"(354.3750055371095, 184.218752878418)","(57.65625090087892, 113.90625177978518)",14.2416,41.89356735907495,140.7020145189017,1778643,,,,,,
20260513_22862540318,404,81,1155.63,119.39999999999998,4.581,0.0,,499810874,1678644599,135,28,2026-05-13 03:43:22,1,68446.0,18.0,171,62.0,14.0,58.0,21.0,"(357.1875055810548, 187.03125292236334)","(70.31250109863284, 129.37500202148442)",7.0,"(1.4062500219726566, 181.4062528344727)","(60.46875094482424, 115.31250180175785)",16.491600000000002,41.89366349950433,140.70236488245428,1778643,,,,,,
20260513_22862540318,406,79,1164.37,119.60000000000002,4.059,0.0,,499810994,1678645844,177,28,2026-05-13 03:43:24,1,68772.0,21.0,174,72.0,15.0,65.0,15.0,"(352.9687555151368, 185.62500290039068)","(63.28125098876955, 123.75000193359378)",7.0,"(2.812500043945313, 182.81250285644535)","(63.28125098876955, 118.12500184570315)",14.6124,41.893673557788134,140.70246923714876,1778643,,,,,,
20260513_22862540318,407,80,1168.42,119.79999999999995,3.76,0.0,,499811119,1678646389,196,28,2026-05-13 03:43:25,1,68968.0,21.0,173,75.0,18.0,70.0,16.0,"(350.1562554711915, 184.218752878418)","(57.65625090087892, 119.5312518676758)",5.0,"(2.812500043945313, 182.81250285644535)","(63.28125098876955, 118.12500184570315)",13.536,41.8936840351671,140.70251491852105,1778643,,,,,,
20260513_22862540318,408,83,1172.23,119.79999999999995,3.854,0.0,,499811233,1678646914,218,28,2026-05-13 03:43:26,1,69186.0,21.0,173,75.0,17.0,61.0,17.0,"(350.1562554711915, 184.218752878418)","(57.65625090087892, 119.5312518676758)",7.0,"(None, None)","(None, None)",13.8744,41.893693590536714,140.7025589235127,1778643,,,,,,
20260513_22862540318,409,83,1175.67,120.0,3.854,0.0,,499811387,1678647403,233,28,2026-05-13 03:43:27,1,69419.0,23.0,172,80.0,17.0,65.0,17.0,"(347.3437554272462, 185.62500290039068)","(54.84375085693361, 115.31250180175785)",9.0,"(None, None)","(None, None)",13.8744,41.8937064986676,140.7025999110192,1778643,,,,,,
20260513_22862540318,410,82,1180.06,120.39999999999998,3.835,0.0,,499811586,1678647954,253,28,2026-05-13 03:43:28,1,69672.0,23.0,173,81.0,19.0,76.0,16.0,"(337.5000052734376, 184.218752878418)","(56.25000087890626, 115.31250180175785)",9.0,"(343.1250053613282, 168.7500026367188)","(46.40625072509767, 101.25000158203127)",13.806,41.89372317865491,140.70264609530568,1778643,,,,,,
20260513_22862540318,411,84,1183.99,120.79999999999995,3.844,0.0,,499811738,1678648485,249,28,2026-05-13 03:43:29,1,69921.0,24.0,173,82.0,19.0,77.0,16.0,"(334.6875052294923, 187.03125292236334)","(64.68750101074221, 125.15625195556643)",7.0,"(348.75000544921886, 175.78125274658208)","(53.43750083496095, 108.28125169189455)",13.8384,41.89373591914773,140.70269060321152,1778643,,,,,,
20260513_22862540318,405,82,1160.23,119.60000000000002,4.46,0.0,,499810942,1678645252,149,28,2026-05-13 03:43:23,1,68595.0,21.0,174,72.0,15.0,65.0,21.0,"(0.0, 187.03125292236334)","(70.31250109863284, 127.96875199951175)",7.0,"(1.4062500219726566, 181.4062528344727)","(60.46875094482424, 115.31250180175785)",16.056,41.89366919919848,140.702419616282,1778643,,,,,,
